I feel good about what I'm working on,I feel good about my career path,I feel good about my work-life balance,I feel valued by those around me,I see opportunities for career growth,"In your opinion, what are the top three skills most in demand in the battery industry?","In opinion, which part(s) of the battery value chain are most in need of more skilled workers?",What is your highest level of education?,What did you study in school?,What country do you live in?,What is your ZIP code or postal code?,What is your total income over the past 12 months?,How many hours did you work last week?,What is your age?,How would you best describe yourself?,To which gender do you most identify with?,What is your citizenship status in the country you currently live in?,Have you ever served in the military?,What is your current employment situation?,"Since you're currently working in the industry, we would love to ask you some more detailed questions about your industry experience.

Would you like to complete these additional questions? ","Since you're a student, we would love to ask you more detailed questions about your student and job searching experience.

Would you like to complete these additional questions? ","Since you've indicated that you used to work for a company but no longer work there, we would love to ask you more detailed questions about your experience with the previous company and your job-search process.

Would you like to complete these additional questions? ",Why did you leave your previous company?,I am satisfied with my compensation,I am being underpaid compared to similar roles,I am satisfied with the raises and/or bonuses I have been receiving,What is your annual base salary?,"Beyond base salary, what additional compensation types do you receive?",How many times have you received a base salary increase over the past 12 months of employment?,How many times have you received a bonus over the past 12 months of employment?,How many years have you been with the company?,Where does the company fall on the battery value chain?,How would you classify your company's stage of development?,In what country is your office located?,In what state is your office located?,How many days did you work in the office last week?,How many employees work at your company?,What is the total headcount on your team?,What is your current job title?,What does your role involve?,What is your current level?,Why did you choose your current role and company?,Have you previously worked in other industries?,What was your previous role before joining the battery industry?,After working for 1 week?,After working for 1 month?,After working for 3 months?,Last week?,"When you first started your role, how were you trained?","When you first started in the battery industry, what could have improved your job performance on day one?",How many internships did you complete before starting your current role?,"In your opinion, what are the top skills that contributed to your success?","In your opinion, which positions are the hardest to fill in your company?","In your opinion, what do you think are the main barriers to hiring skilled talent in the battery industry?",How many times have you changed employers in the last five years?,Are you currently seeking new job opportunities?,My company has a good reputation in the industry,I want to stay with my company for at least 12 more months,I am satisfied with my current job stability,I am confident in my ability to find my next job in the industry,"If you were offered a similar role with a different company, what factors would influence your decision accept the offer?",Is there anything else you'd like to share about what you're looking for in your next role?,Mental health support,Work-life balance initiatives,Financial wellness programs,Career development opportunities,What benefits does your company entitle you to?,How many weeks of parental leave are you entitled to?,How many weeks of paid time off are you entitled to each year?,How many days of sick leave are you entitled to?,Are there any unique benefits that you value?,"After graduating, I know what role(s) to apply to","After graduating, I will find a job","By the time I graduate, I will have learned the skills needed to find a job",I am optimistic about the future of the battery industry,"After you graduate, what would be your ideal job title?","After you graduate, what part(s) of the battery value chain do you see yourself contributing to?",Which of the following aspects are you looking for in your first job?,How much do you expect to be paid for your first job?,How many internships have you completed so far?,"During your previous internship, where did your  employer fall on the battery value chain?","During your previous internship, what did your role involve?","During your previous internship, what are the top three skills that contributed to your success?","During your previous internship, were there skills you wish you had learned but didn't? If yes, what were they?","During your previous internship, were there skills that you felt unprepared for? If yes, what were they?","During your previous internship, what was your hourly pay?","During your previous internship, how many hours per week did you work, on average?",Submitted At,Token
4,4,3,4,4,[cell knowledge],"Product integration (vehicles, mobility), Software",Masters,Chemical Engineering,United Kingdom,NW1 3BL,72000,55,25,"Asian, White",Female,Non-citizen (F1/M1/OPT holder),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:18:16,1llvde5ik1s3hu211llvdtpu2aic5ynr
5,5,3,4,5,Electrical knowledge / organisational skills / poise,community engagement,Masters,Engineering (Other),United States,22902,200000,50,54,"Hispanic, Latino, or Spanish origin",Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:17:43,4oj4tvko9i1do7274oj4hhatjad4xiht
5,5,4,5,5,Manufacturing scale-up,"Equipment manufacturing, Cell production, Component/precursor production",Doctorate,Mechanical Engineering,United States,48105,140000,45,34,Asian,Male,Citizen (foreign-born),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,3,4,4,Assistant Professor,Academic,"Sustainability and impact, Career growth opportunities, Challenge and innovation, Learning and skills development",140000,5+,,"Engineering and design, Managing people, Managing projects or programs",Grit; communication; coding,Supply chain,,15,60,10/4/2024 20:16:20,wfuv909d0eh9gtudlwfuvq0bqrdb2hh4
4,,,,,"Knowledge, Research, Analytical Power","Cell production, Product integration (vehicles, mobility), Module/pack production",Masters,Mechanical Engineering,India,711104,2200000,58,38,Asian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,,,3,2200000,"Bonuses (based on individual performance), Equity (stock, options, etc.), Education or tuition reimbursement, Health and wellness stipends",1,0,4,"Module/pack production, Product integration (vehicles, mobility), Product integration (stationary storage)",Scale-up (rapid growth),India,,6,251-500,11-20,Asst. General Manager,"Engineering and design, Research and development",Manager,"Challenge and innovation, Supportive team and environment","Yes, in a different role",Machine Design Engineer,4,,,,Learning on the job,Better understanding of culture and norms,2,"Knowledge, Problem Solving Skills, Innovative Thinking",CTO,Lack of Innovative Thinking & Patience,1,FALSE,3,,,5,"Job stability, Company culture, Support on R&D Projects",Visa sponsorship.,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:16:00,qn3mpz4ddj6cgrqn3mpzx5bkhryf1vc4
4,4,4,4,4,MATLAB optimisation 1; COMSOL 2;,Product integration (electronics),Bachelors,Mechanical Engineering,India,416602,150000,48,22,Indian,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,1,4,1,360000,Na,0,0,0,"Equipment manufacturing, Component/precursor production, Product integration (electronics)",Established (significant market presence),India,,6,251-500,1-10,Research assistant,"Engineering and design, Testing and validation",Entry,Career growth opportunities,No,,2,3,4,4,Learning on the job,"Better foundational knowledge, More hands-on skills",1,MATLAB 1; CAE 2;,,,,TRUE,4,1,3,1,"Career growth opportunities, Visa sponsorship, Company culture, Salary, bonuses",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:15:36,ocvqcviwujrnw2119eocvqcvi57b7brq
5,5,2,3,5,"Skill 1 - Cell Engineering (R&D and Mature Products), Skill 2 - Product Pricing/Cost Engineering, Skill 3 - Strategic Partnership","Cell production, Equipment manufacturing, Energy infrastructure",Bachelors,Mechanical Engineering,United States,48030,130000,60,26,Asian,Male,Non-citizen (F1/M1/OPT holder),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,3,4,4,130000,"Bonuses (based on individual performance), Bonuses (based on company performance), Bonuses (based on retention), Equity (stock, options, etc.)",1,3+,2,"Cell production, Module/pack production, Product integration (vehicles, mobility), Product integration (stationary storage), Energy infrastructure",Scale-up (rapid growth),United States,Michigan,5,251-500,1-10,"Manager, Strategy and Corporate Development","Managing projects or programs, Strategy and planning, Fundraising",Manager,"Supportive team and environment, Challenge and innovation, Learning and skills development, Career growth opportunities, Sustainability and impact","Yes, in a different role",Mechanical Engineer - Turbine Airfoils,2,3,4,5,"Learning on the job, Peer mentors","Better foundational knowledge, Better understanding of culture and norms",4,"Skill 1 - Excel, Skill 2 - Powerpoint, Skill 3 - Quick Comprehension",,,0,TRUE,3,5,4,5,"Salary, bonuses, Equity, Career growth opportunities, Company culture, Visa sponsorship",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:14:41,k51f3smsptwrc3gfk51f3voj9je2a364
,,,,,,"Cell production, Product integration (stationary storage)",Masters,Finance and Accounting,United States,07090,180000,0,64,White,Male,Citizen (native-born),No,I'm not employed right now but I used to work for a company,,,TRUE,I was laid off,3,4,3,180000,"Bonuses (based on individual performance), Equity (stock, options, etc.)",1,1,4,Data,Established (significant market presence),United States,New York,3,"5,001-10,000",1-10,Content Manager,"Strategy and planning, Marketing, Managing projects or programs, Investor",Expert,"Challenge and innovation, Learning and skills development, Career growth opportunities","Yes, in a different role",Investment Analyst,3,2,2,5,education,Better foundational knowledge,1,Continuous learning; Diligence; Marketing,,Unwillingness to consider transferable skills,1,TRUE,4,4,2,3,"Career growth opportunities, Salary, bonuses, Job stability",A firm that values my experiences,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:12:39,jggdfvd3bb15tjjggdfr8o7kx4ecjgep
4,4,4,4,3,software/programming   battery chemistry design    testing,"Energy infrastructure, Software, Cell production",Masters,Mechanical Engineering,United States,48240,159000,45,64,White,Male,Non-citizen (Other),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,4,159000,"Bonuses (based on company performance), Bonuses (based on individual performance)",1,1,9,"Product integration (vehicles, mobility)",Established (significant market presence),United States,Michigan,5,"100,000+",1-10,Operations Supervisor,"Managing people, Managing projects or programs, Research and development, Strategy and planning, Manufacturing and production",Senior,"Competitive salary and benefits, Work-life balance, Sustainability and impact, Supportive team and environment, Learning and skills development","Yes, in a different role",Product development - body exterior,3,4,4,5,"Learning on the job, Peer mentors",Better foundational knowledge,0,planning skills    mathematical   people skills,product development - batteries,,0,FALSE,4,5,4,4,"Company culture, Salary, bonuses, Job stability",community involvement - make EVs accessible to all,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:09:39,2hghbpc4n4u45h4cs8jajr2hghbpch37
5,4,4,4,4,"Material Synthesis, Material Characterization, Data Analysis,","Component/precursor production, Cell production, Recycling",Bachelors,Materials Science and Engineering,United States,14850,,,22,Asian,Male,Non-citizen (F1/M1/OPT holder),No,"I'm in school or in training (e.g., a student or postdoc)",,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,4,5,5,Battery Engineer,"Cell production, Component/precursor production, Recycling","Learning and skills development, Sustainability and impact, Supportive team and environment, Career growth opportunities, Job security",120000,0,,,,,,,,10/4/2024 20:09:07,u15nstdiad9l1w1u15nst7ldvl17i4oe
4,4,4,4,4,Long term vision and planning skills. Product knowledge. People communication,"Energy infrastructure, Recycling",Masters,,United States,95035,200000,60,52,Asian,Male,Citizen (foreign-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,3,2,,Bonuses (based on individual performance),0,0,1,Component/precursor production,Established (significant market presence),United States,California,5,51-100,51-100,Sales Director,Marketing,Director/VP,Challenge and innovation,"Yes, in a similar role",,3,3,4,4,Learning on the job,Better understanding of culture and norms,0,"Communication, product knowledge, self-motivation.",Front line manager,Not many people with such knowledge.,1,TRUE,5,5,5,5,"Salary, bonuses",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:08:20,6hgq1j4xmm055xd6hgq1vpadfsvwdw4l
5,3,3,5,3,Leadership; Project Planning; Manufacturing Basics,"Component/precursor production, Equipment manufacturing, Technical Training",Diploma (high school),Computer and Information Systems,United States,89701,90000,50,45,"Hispanic, Latino, or Spanish origin",Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:06:51,jukp0y165v9r4xblczhj7jukp0y089c9
5,5,5,5,5,,"Cell production, Energy infrastructure, Component/precursor production",Bachelors,Finance and Accounting,Canada,,,,,,,,,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:02:31,khzlsrc7qjo97gs735oykhzlsrc7q732
5,5,5,4,4,failure analysis; techno-economic analysis; codes/standards,"Recycling, Module/pack production, Product integration (vehicles, mobility)",Doctorate,Materials Science and Engineering,United States,55044,120000,40,34,White,Male,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,4,121000,,1,0,2,Consulting,Established (significant market presence),United States,Minnesota,0,51-100,11-20,Engineering Consultant,"Engineering and design, Facilities, Managing people, Managing projects or programs, Research and development, Strategy and planning, Testing and validation",Senior,"Competitive salary and benefits, Learning and skills development, Work-life balance, Hybrid/remote work, Desirable work location, Sustainability and impact","Yes, in a similar role",,3,3,4,5,"Learning on the job, Peer mentors","More hands-on skills, Better understanding of culture and norms",0,communication; depth of knowledge; consulting experience,senior and expert positions,competition from higher paying companies; physical location constraints,1,FALSE,5,5,5,4,"Salary, bonuses, Job stability, Vacation time, Perks, Career growth opportunities, Parental leave, Work location flexibility, Total hours worked, Company culture",geography,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 20:02:18,2h0okd4t1m1tzluw2h7fkwgxcax4wit6
3,2,4,3,4,"electrochemistry, adaptability, perserverance",Component/precursor production,Bachelors,Chemistry,United States,77008,75000,40,29,White,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,4,3,2,75000,"Equity (stock, options, etc.)",2,0,3,Component/precursor production,Startup (early growth),United States,Texas,5,11-50,1-10,Associate Scientist,"Quality, Research and development",Developing,"Career growth opportunities, Competitive salary and benefits, Work-life balance",No,,4,4,4,3,Learning on the job,Better foundational knowledge,0,,,,3,TRUE,2,1,2,3,"Salary, bonuses, Vacation time, Career growth opportunities, Work location flexibility, Company culture",,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:59:19,bfhchbpzd4mjph5zxpbfhchb03yvq6pp
4,3,4,4,2,"Cell cycling experience, electrode fabrication experience, SEM","Product integration (vehicles, mobility), Recycling",Masters,Materials Science and Engineering,United States,80401,65000,45,27,Black or African American,Female,,No,"I'm working professionally (e.g., at a company, national lab)",FALSE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:57:21,j8b5yjhzz000f16mj8b5yj2fsiuv4khb
5,4,5,4,4,hands-on experience building cells; materials research for dry processes; interdisciplinary collaboration,"Equipment manufacturing, Software, Energy infrastructure",Bachelors,Chemical Engineering,United States,01821,80000,40,24,Asian,Female,Citizen (native-born),No,"I'm working professionally (e.g., at a company, national lab)",TRUE,,,,2,4,3,80000,"Equity (stock, options, etc.)",0,0,1,Equipment manufacturing,Startup (early growth),United States,Massachusetts,5,51-100,1-10,Development Engineer,Research and development,Entry,"Challenge and innovation, Sustainability and impact, Learning and skills development, Desirable work location","Yes, in a different role",,2,3,3,4,"Learning on the job, Peer mentors",Better foundational knowledge,5+,openness to learn; previous internship experience; good communication,battery engineer,not much battery manufacturing in the US; electrochemistry is hard unless you are formally trained in it,0,FALSE,4,4,4,2,"Salary, bonuses, Vacation time, Career growth opportunities, Company culture, Total hours worked, Work location flexibility",hybrid option; better pay,,,,,,,,,,,,,,,,,,,,,,,,,,10/4/2024 19:57:04,fkufjysgan4hmfkmczm1zrf0p28y61s0
